season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD
2011/2012,Scotland Premier League,Rangers,26,5,7,77,28,83,49
2011/2012,Scotland Premier League,St. Johnstone FC,14,8,16,43,50,50,-7
2011/2012,Scotland Premier League,St. Mirren,9,16,13,39,51,43,-12
2011/2012,Spain LIGA BBVA,Athletic Club de Bilbao,12,13,13,49,52,49,-3
2011/2012,Spain LIGA BBVA,Atlético Madrid,15,11,12,53,46,56,7
2011/2012,Spain LIGA BBVA,CA Osasuna,13,15,10,44,61,54,-17
2011/2012,Spain LIGA BBVA,FC Barcelona,28,7,3,114,29,91,85
2011/2012,Spain LIGA BBVA,Getafe CF,12,11,15,40,51,47,-11
2011/2012,Spain LIGA BBVA,Granada CF,12,6,20,35,56,42,-21
2011/2012,Spain LIGA BBVA,Levante UD,16,7,15,54,50,55,4
2011/2012,Spain LIGA BBVA,Málaga CF,17,7,14,54,53,58,1
2011/2012,Spain LIGA BBVA,RCD Espanyol,12,10,16,46,56,46,-10
2011/2012,Spain LIGA BBVA,RCD Mallorca,14,10,14,42,46,52,-4
2011/2012,Spain LIGA BBVA,Racing Santander,4,15,19,28,63,27,-35
2011/2012,Spain LIGA BBVA,Rayo Vallecano,13,4,21,53,73,43,-20
2011/2012,Spain LIGA BBVA,Real Betis Balompié,13,8,17,47,56,47,-9
2011/2012,Spain LIGA BBVA,Real Madrid CF,32,4,2,121,32,100,89
2011/2012,Spain LIGA BBVA,Real Sociedad,12,11,15,46,52,47,-6
2011/2012,Spain LIGA BBVA,Real Sporting de Gijón,10,7,21,42,69,37,-27
2011/2012,Spain LIGA BBVA,Real Zaragoza,12,7,19,36,61,43,-25
2011/2012,Spain LIGA BBVA,Sevilla FC,13,11,14,48,47,50,1
2011/2012,Spain LIGA BBVA,Valencia CF,17,10,11,59,44,61,15
2011/2012,Spain LIGA BBVA,Villarreal CF,9,14,15,39,53,41,-14
2011/2012,Switzerland Super League,BSC Young Boys,13,12,9,52,38,51,14
2011/2012,Switzerland Super League,FC Basel,22,8,4,78,33,74,45
2011/2012,Switzerland Super League,FC Lausanne-Sports,8,6,20,29,61,30,-32
2011/2012,Switzerland Super League,FC Luzern,14,12,8,46,32,54,14
2011/2012,Switzerland Super League,FC Sion,15,8,11,40,35,53,5
2011/2012,Switzerland Super League,FC Thun,11,10,13,38,41,43,-3
2011/2012,Switzerland Super League,FC Zürich,11,8,15,43,44,41,-1
2011/2012,Switzerland Super League,Grasshopper Club Zürich,7,5,22,32,66,26,-34
2011/2012,Switzerland Super League,Neuchâtel Xamax,7,5,6,22,22,26,0
2011/2012,Switzerland Super League,Servette FC,14,6,14,45,53,48,-8
2012/2013,Belgium Jupiler League,Beerschot AC,6,5,19,31,61,23,-30
2012/2013,Belgium Jupiler League,Club Brugge KV,15,9,6,66,43,54,23
2012/2013,Belgium Jupiler League,KAA Gent,8,10,12,33,40,34,-7
2012/2013,Belgium Jupiler League,KRC Genk,15,10,5,63,40,55,23
2012/2013,Belgium Jupiler League,KSV Cercle Brugge,3,5,22,30,65,14,-35
2012/2013,Belgium Jupiler League,KV Kortrijk,11,6,13,31,30,39,1
2012/2013,Belgium Jupiler League,KV Mechelen,12,5,13,44,42,41,2
2012/2013,Belgium Jupiler League,Lierse SK,5,11,14,28,53,26,-25
2012/2013,Belgium Jupiler League,Oud-Heverlee Leuven,8,12,10,46,51,36,-5
2012/2013,Belgium Jupiler League,RAEC Mons,13,5,12,48,53,44,-5
2012/2013,Belgium Jupiler League,RSC Anderlecht,20,7,3,69,27,67,42
2012/2013,Belgium Jupiler League,SV Zulte-Waregem,19,6,5,49,29,63,20
2012/2013,Belgium Jupiler League,Sporting Charleroi,10,4,16,30,49,34,-19
2012/2013,Belgium Jupiler League,Sporting Lokeren,14,9,7,53,38,51,15
2012/2013,Belgium Jupiler League,Standard de Liège,15,5,10,54,33,50,21
2012/2013,Belgium Jupiler League,Waasland-Beveren,7,9,14,28,49,30,-21
2012/2013,England Premier League,Arsenal,21,10,7,72,37,73,35
2012/2013,England Premier League,Aston Villa,10,11,17,47,69,41,-22
2012/2013,England Premier League,Chelsea,22,9,7,75,39,75,36
2012/2013,England Premier League,Everton,16,15,7,55,40,63,15
2012/2013,England Premier League,Fulham,11,10,17,50,60,43,-10
2012/2013,England Premier League,Liverpool,16,13,9,71,43,61,28
2012/2013,England Premier League,Manchester City,23,9,6,66,34,78,32
2012/2013,England Premier League,Manchester United,28,5,5,86,43,89,43
2012/2013,England Premier League,Newcastle United,11,8,19,45,68,41,-23
2012/2013,England Premier League,Norwich City,10,14,14,41,58,44,-17
2012/2013,England Premier League,Queens Park Rangers,4,13,21,30,60,25,-30
2012/2013,England Premier League,Reading,6,10,22,43,73,28,-30
2012/2013,England Premier League,Southampton,9,14,15,49,60,41,-11
2012/2013,England Premier League,Stoke City,9,15,14,34,45,42,-11
2012/2013,England Premier League,Sunderland,9,12,17,41,54,39,-13
2012/2013,England Premier League,Swansea City,11,13,14,47,51,46,-4
2012/2013,England Premier League,Tottenham Hotspur,21,9,8,66,46,72,20
2012/2013,England Premier League,West Bromwich Albion,14,7,17,53,57,49,-4
2012/2013,England Premier League,West Ham United,12,10,16,45,53,46,-8
2012/2013,England Premier League,Wigan Athletic,9,9,20,47,73,36,-26
2012/2013,France Ligue 1,AC Ajaccio,9,15,14,39,51,42,-12
2012/2013,France Ligue 1,AS Nancy-Lorraine,9,11,18,38,58,38,-20
2012/2013,France Ligue 1,AS Saint-Étienne,16,15,7,60,32,63,28
2012/2013,France Ligue 1,ES Troyes AC,8,13,17,43,61,37,-18
2012/2013,France Ligue 1,FC Lorient,14,11,13,57,58,53,-1
2012/2013,France Ligue 1,FC Sochaux-Montbéliard,10,11,17,41,57,41,-16
2012/2013,France Ligue 1,Girondins de Bordeaux,13,16,9,40,34,55,6
2012/2013,France Ligue 1,LOSC Lille,16,14,8,59,40,62,19
2012/2013,France Ligue 1,Montpellier Hérault SC,15,7,16,54,51,52,3
2012/2013,France Ligue 1,OGC Nice,18,10,10,57,46,64,11
2012/2013,France Ligue 1,Olympique Lyonnais,19,10,9,61,38,67,23
2012/2013,France Ligue 1,Olympique de Marseille,21,8,9,42,36,71,6
2012/2013,France Ligue 1,Paris Saint-Germain,25,8,5,69,23,83,46
2012/2013,France Ligue 1,SC Bastia,13,8,17,50,66,47,-16
2012/2013,France Ligue 1,Stade Brestois 29,8,5,25,32,62,29,-30
2012/2013,France Ligue 1,Stade Rennais FC,13,7,18,48,59,46,-11
2012/2013,France Ligue 1,Stade de Reims,10,13,15,33,42,43,-9
2012/2013,France Ligue 1,Toulouse FC,13,12,13,49,47,51,2
2012/2013,France Ligue 1,Valenciennes FC,12,12,14,49,53,48,-4
2012/2013,France Ligue 1,Évian Thonon Gaillard FC,10,10,18,46,53,40,-7
2012/2013,Germany 1. Bundesliga,1. FC Nürnberg,11,11,12,39,47,44,-8
2012/2013,Germany 1. Bundesliga,1. FSV Mainz 05,10,12,12,42,44,42,-2
2012/2013,Germany 1. Bundesliga,Bayer 04 Leverkusen,19,8,7,65,39,65,26
2012/2013,Germany 1. Bundesliga,Borussia Dortmund,19,9,6,81,42,66,39
2012/2013,Germany 1. Bundesliga,Borussia Mönchengladbach,12,11,11,45,49,47,-4
2012/2013,Germany 1. Bundesliga,Eintracht Frankfurt,14,9,11,49,46,51,3
2012/2013,Germany 1. Bundesliga,FC Augsburg,8,9,17,33,51,33,-18
2012/2013,Germany 1. Bundesliga,FC Bayern Munich,29,4,1,98,18,91,80
2012/2013,Germany 1. Bundesliga,FC Schalke 04,16,7,11,58,50,55,8
2012/2013,Germany 1. Bundesliga,Fortuna Düsseldorf,7,9,18,39,57,30,-18
2012/2013,Germany 1. Bundesliga,Hamburger SV,14,6,14,42,53,48,-11
2012/2013,Germany 1. Bundesliga,Hannover 96,13,6,15,60,62,45,-2
2012/2013,Germany 1. Bundesliga,SC Freiburg,14,9,11,45,40,51,5
2012/2013,Germany 1. Bundesliga,SV Werder Bremen,8,10,16,50,66,34,-16
2012/2013,Germany 1. Bundesliga,SpVgg Greuther Fürth,4,9,21,26,60,21,-34
2012/2013,Germany 1. Bundesliga,TSG 1899 Hoffenheim,8,7,19,42,67,31,-25
2012/2013,Germany 1. Bundesliga,VfB Stuttgart,12,7,15,37,55,43,-18
2012/2013,Germany 1. Bundesliga,VfL Wolfsburg,10,13,11,47,52,43,-5
2012/2013,Italy Serie A,Atalanta,11,9,18,39,56,42,-17
2012/2013,Italy Serie A,Bologna,11,11,16,46,52,44,-6
2012/2013,Italy Serie A,Cagliari,12,11,15,43,55,47,-12
2012/2013,Italy Serie A,Catania,15,11,12,50,46,56,4
2012/2013,Italy Serie A,Chievo Verona,12,9,17,37,52,45,-15
2012/2013,Italy Serie A,Fiorentina,21,7,10,72,44,70,28
2012/2013,Italy Serie A,Genoa,8,14,16,38,52,38,-14
2012/2013,Italy Serie A,Inter,16,6,16,55,57,54,-2
2012/2013,Italy Serie A,Juventus,27,6,5,71,24,87,47
2012/2013,Italy Serie A,Lazio,18,7,13,51,42,61,9
2012/2013,Italy Serie A,Milan,21,9,8,67,39,72,28
2012/2013,Italy Serie A,Napoli,23,9,6,73,36,78,37
2012/2013,Italy Serie A,Palermo,6,14,18,34,54,32,-20
2012/2013,Italy Serie A,Parma,13,10,15,45,46,49,-1
2012/2013,Italy Serie A,Pescara,6,4,28,27,84,22,-57
2012/2013,Italy Serie A,Roma,18,8,12,71,56,62,15
2012/2013,Italy Serie A,Sampdoria,11,10,17,43,51,43,-8
2012/2013,Italy Serie A,Siena,9,9,20,36,57,36,-21
2012/2013,Italy Serie A,Torino,8,16,14,46,55,40,-9
2012/2013,Italy Serie A,Udinese,18,12,8,59,45,66,14
2012/2013,Netherlands Eredivisie,ADO Den Haag,9,13,12,49,63,40,-14
2012/2013,Netherlands Eredivisie,AZ,10,9,15,56,54,39,2
2012/2013,Netherlands Eredivisie,Ajax,22,10,2,83,31,76,52
2012/2013,Netherlands Eredivisie,FC Groningen,12,7,15,36,53,43,-17
2012/2013,Netherlands Eredivisie,FC Twente,17,11,6,60,33,62,27
2012/2013,Netherlands Eredivisie,FC Utrecht,19,6,9,55,41,63,14
2012/2013,Netherlands Eredivisie,Feyenoord,21,6,7,64,38,69,26
2012/2013,Netherlands Eredivisie,Heracles Almelo,9,11,14,58,71,38,-13
2012/2013,Netherlands Eredivisie,N.E.C.,10,7,17,44,66,37,-22
2012/2013,Netherlands Eredivisie,NAC Breda,10,8,16,40,56,38,-16
2012/2013,Netherlands Eredivisie,PEC Zwolle,10,9,15,42,55,39,-13
2012/2013,Netherlands Eredivisie,PSV,22,3,9,103,43,69,60
2012/2013,Netherlands Eredivisie,RKC Waalwijk,9,10,15,39,48,37,-9
2012/2013,Netherlands Eredivisie,Roda JC Kerkrade,7,12,15,51,69,33,-18
2012/2013,Netherlands Eredivisie,SC Heerenveen,11,9,14,50,63,42,-13
2012/2013,Netherlands Eredivisie,VVV-Venlo,6,10,18,33,62,28,-29
2012/2013,Netherlands Eredivisie,Vitesse,19,7,8,68,42,64,26
2012/2013,Netherlands Eredivisie,Willem II,5,8,21,33,76,23,-43
2012/2013,Poland Ekstraklasa,GKS Bełchatów,7,10,13,24,38,31,-14
2012/2013,Poland Ekstraklasa,Jagiellonia Białystok,8,13,9,31,45,37,-14
2012/2013,Poland Ekstraklasa,Korona Kielce,9,9,12,32,37,36,-5
2012/2013,Poland Ekstraklasa,Lech Poznań,19,4,7,46,22,61,24
2012/2013,Poland Ekstraklasa,Lechia Gdańsk,10,8,12,42,43,38,-1
2012/2013,Poland Ekstraklasa,Legia Warszawa,20,7,3,59,22,67,37
2012/2013,Poland Ekstraklasa,P. Warszawa,11,9,10,45,34,42,11
2012/2013,Poland Ekstraklasa,Piast Gliwice,13,7,10,41,41,46,0
2012/2013,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,8,8,14,39,43,32,-4
2012/2013,Poland Ekstraklasa,Pogoń Szczecin,10,5,15,29,39,35,-10
2012/2013,Poland Ekstraklasa,Polonia Bytom,12,7,11,35,31,43,4
2012/2013,Poland Ekstraklasa,Ruch Chorzów,8,7,15,35,48,31,-13
2012/2013,Poland Ekstraklasa,Widzew Łódź,8,9,13,30,41,33,-11
2012/2013,Poland Ekstraklasa,Wisła Kraków,10,8,12,28,35,38,-7
2012/2013,Poland Ekstraklasa,Zagłębie Lubin,11,7,12,38,37,40,1
2012/2013,Poland Ekstraklasa,Śląsk Wrocław,13,8,9,44,42,47,2
2012/2013,Portugal Liga ZON Sagres,Académica de Coimbra,6,10,14,33,45,28,-12
2012/2013,Portugal Liga ZON Sagres,CD Nacional,11,7,12,45,51,40,-6
2012/2013,Portugal Liga ZON Sagres,CS Marítimo,9,11,10,34,45,38,-11
2012/2013,Portugal Liga ZON Sagres,Estoril Praia,13,6,11,47,37,45,10
2012/2013,Portugal Liga ZON Sagres,FC Paços de Ferreira,14,12,4,42,29,54,13
2012/2013,Portugal Liga ZON Sagres,FC Porto,24,6,0,70,14,78,56
2012/2013,Portugal Liga ZON Sagres,Gil Vicente FC,6,7,17,31,54,25,-23
2012/2013,Portugal Liga ZON Sagres,Moreirense FC,5,9,16,30,51,24,-21
2012/2013,Portugal Liga ZON Sagres,Rio Ave FC,12,6,12,35,42,42,-7
2012/2013,Portugal Liga ZON Sagres,S.C. Olhanense,5,10,15,26,42,25,-16
2012/2013,Portugal Liga ZON Sagres,SC Beira Mar,5,8,17,35,55,23,-20
2012/2013,Portugal Liga ZON Sagres,SC Braga,16,4,10,60,44,52,16
2012/2013,Portugal Liga ZON Sagres,SL Benfica,24,5,1,77,20,77,57
2012/2013,Portugal Liga ZON Sagres,Sporting CP,11,9,10,36,36,42,0
2012/2013,Portugal Liga ZON Sagres,Vitória Guimarães,11,7,12,36,47,40,-11
2012/2013,Portugal Liga ZON Sagres,Vitória Setúbal,7,5,18,30,55,26,-25
2012/2013,Scotland Premier League,Aberdeen,11,15,12,41,43,48,-2
2012/2013,Scotland Premier League,Celtic,24,7,7,92,35,79,57
2012/2013,Scotland Premier League,Dundee FC,7,9,22,28,66,30,-38
2012/2013,Scotland Premier League,Dundee United,11,14,13,51,62,47,-11
2012/2013,Scotland Premier League,Heart of Midlothian,11,11,16,40,49,44,-9
2012/2013,Scotland Premier League,Hibernian,13,12,13,49,52,51,-3
2012/2013,Scotland Premier League,Inverness Caledonian Thistle,13,15,10,64,60,54,4
2012/2013,Scotland Premier League,Kilmarnock,11,12,15,52,53,45,-1
2012/2013,Scotland Premier League,Motherwell,18,9,11,67,51,63,16
2012/2013,Scotland Premier League,Ross County FC,13,14,11,47,48,53,-1
2012/2013,Scotland Premier League,St. Johnstone FC,14,14,10,45,44,56,1
2012/2013,Scotland Premier League,St. Mirren,9,14,15,47,60,41,-13
2012/2013,Spain LIGA BBVA,Athletic Club de Bilbao,12,9,17,44,65,45,-21
2012/2013,Spain LIGA BBVA,Atlético Madrid,23,7,8,65,31,76,34
2012/2013,Spain LIGA BBVA,CA Osasuna,10,9,19,33,50,39,-17
2012/2013,Spain LIGA BBVA,FC Barcelona,32,4,2,115,40,100,75
2012/2013,Spain LIGA BBVA,Getafe CF,13,8,17,43,57,47,-14
2012/2013,Spain LIGA BBVA,Granada CF,11,9,18,37,54,42,-17
2012/2013,Spain LIGA BBVA,Levante UD,12,10,16,40,57,46,-17
2012/2013,Spain LIGA BBVA,Málaga CF,16,9,13,53,50,57,3
2012/2013,Spain LIGA BBVA,RC Celta de Vigo,10,7,21,37,52,37,-15
2012/2013,Spain LIGA BBVA,RC Deportivo de La Coruña,8,11,19,47,70,35,-23
2012/2013,Spain LIGA BBVA,RCD Espanyol,11,11,16,43,52,44,-9
2012/2013,Spain LIGA BBVA,RCD Mallorca,9,9,20,43,72,36,-29
2012/2013,Spain LIGA BBVA,Rayo Vallecano,16,5,17,50,66,53,-16
2012/2013,Spain LIGA BBVA,Real Betis Balompié,16,8,14,57,56,56,1
2012/2013,Spain LIGA BBVA,Real Madrid CF,26,7,5,103,42,85,61
2012/2013,Spain LIGA BBVA,Real Sociedad,18,12,8,70,49,66,21
2012/2013,Spain LIGA BBVA,Real Valladolid,11,10,17,49,58,43,-9
2012/2013,Spain LIGA BBVA,Real Zaragoza,9,7,22,37,62,34,-25
2012/2013,Spain LIGA BBVA,Sevilla FC,14,8,16,58,54,50,4
2012/2013,Spain LIGA BBVA,Valencia CF,19,8,11,67,54,65,13
2012/2013,Switzerland Super League,BSC Young Boys,11,10,15,48,50,43,-2
2012/2013,Switzerland Super League,FC Basel,21,9,6,61,31,72,30
2012/2013,Switzerland Super League,FC Lausanne-Sports,8,9,19,32,51,33,-19
2012/2013,Switzerland Super League,FC Luzern,10,12,14,41,52,42,-11
2012/2013,Switzerland Super League,FC Sion,13,9,14,40,54,48,-14
2012/2013,Switzerland Super League,FC St. Gallen,17,8,11,54,36,59,18
2012/2013,Switzerland Super League,FC Thun,13,9,14,44,46,48,-2
2012/2013,Switzerland Super League,FC Zürich,16,7,13,62,48,55,14
2012/2013,Switzerland Super League,Grasshopper Club Zürich,20,9,7,48,32,69,16
2012/2013,Switzerland Super League,Servette FC,6,8,22,32,62,26,-30
2013/2014,Belgium Jupiler League,KAA Gent,3,1,2,11,6,10,5
2013/2014,Belgium Jupiler League,KV Oostende,4,2,0,7,1,14,6
2013/2014,Belgium Jupiler League,Lierse SK,2,0,4,5,12,6,-7
2013/2014,Belgium Jupiler League,Waasland-Beveren,1,1,4,7,11,4,-4
2013/2014,England Premier League,Arsenal,24,7,7,68,41,79,27
2013/2014,England Premier League,Aston Villa,10,8,20,39,61,38,-22
2013/2014,England Premier League,Cardiff City,7,9,22,32,74,30,-42
2013/2014,England Premier League,Chelsea,25,7,6,71,27,82,44
2013/2014,England Premier League,Crystal Palace,13,6,19,33,48,45,-15
2013/2014,England Premier League,Everton,21,9,8,61,39,72,22
2013/2014,England Premier League,Fulham,9,5,24,40,85,32,-45
2013/2014,England Premier League,Hull City,10,7,21,38,53,37,-15
2013/2014,England Premier League,Liverpool,26,6,6,101,50,84,51
2013/2014,England Premier League,Manchester City,27,5,6,102,37,86,65
2013/2014,England Premier League,Manchester United,19,7,12,64,43,64,21
2013/2014,England Premier League,Newcastle United,15,4,19,43,59,49,-16
2013/2014,England Premier League,Norwich City,8,9,21,28,62,33,-34
2013/2014,England Premier League,Southampton,15,11,12,54,46,56,8
2013/2014,England Premier League,Stoke City,13,11,14,45,52,50,-7
2013/2014,England Premier League,Sunderland,10,8,20,41,60,38,-19
2013/2014,England Premier League,Swansea City,11,9,18,54,54,42,0
2013/2014,England Premier League,Tottenham Hotspur,21,6,11,55,51,69,4
2013/2014,England Premier League,West Bromwich Albion,7,15,16,43,59,36,-16
2013/2014,England Premier League,West Ham United,11,7,20,40,51,40,-11
2013/2014,France Ligue 1,AC Ajaccio,4,11,23,37,72,23,-35
2013/2014,France Ligue 1,AS Monaco,23,11,4,63,31,80,32
2013/2014,France Ligue 1,AS Saint-Étienne,20,9,9,56,34,69,22
2013/2014,France Ligue 1,En Avant de Guingamp,11,9,18,34,42,42,-8
2013/2014,France Ligue 1,FC Lorient,13,10,15,48,53,49,-5
2013/2014,France Ligue 1,FC Nantes,13,10,15,40,43,49,-3
2013/2014,France Ligue 1,FC Sochaux-Montbéliard,10,10,18,37,61,40,-24
2013/2014,France Ligue 1,Girondins de Bordeaux,13,14,11,49,43,53,6
2013/2014,France Ligue 1,LOSC Lille,20,11,7,46,26,71,20
2013/2014,France Ligue 1,Montpellier Hérault SC,8,18,12,45,53,42,-8
2013/2014,France Ligue 1,OGC Nice,12,6,20,30,44,42,-14
2013/2014,France Ligue 1,Olympique Lyonnais,17,10,11,56,44,61,12
2013/2014,France Ligue 1,Olympique de Marseille,16,12,10,53,40,60,13
2013/2014,France Ligue 1,Paris Saint-Germain,27,8,3,84,23,89,61
2013/2014,France Ligue 1,SC Bastia,12,10,16,42,58,46,-16
2013/2014,France Ligue 1,Stade Rennais FC,11,13,14,47,45,46,2
2013/2014,France Ligue 1,Stade de Reims,12,12,14,44,52,48,-8
2013/2014,France Ligue 1,Toulouse FC,12,13,13,46,53,49,-7
2013/2014,France Ligue 1,Valenciennes FC,7,8,23,37,65,29,-28
2013/2014,France Ligue 1,Évian Thonon Gaillard FC,11,11,16,39,51,44,-12
2013/2014,Germany 1. Bundesliga,1. FC Nürnberg,5,11,18,37,70,26,-33
2013/2014,Germany 1. Bundesliga,1. FSV Mainz 05,16,5,13,52,54,53,-2
2013/2014,Germany 1. Bundesliga,Bayer 04 Leverkusen,19,4,11,60,41,61,19
2013/2014,Germany 1. Bundesliga,Borussia Dortmund,22,5,7,80,38,71,42
2013/2014,Germany 1. Bundesliga,Borussia Mönchengladbach,16,7,11,59,43,55,16
2013/2014,Germany 1. Bundesliga,Eintracht Braunschweig,6,7,21,29,60,25,-31
2013/2014,Germany 1. Bundesliga,Eintracht Frankfurt,9,9,16,40,57,36,-17
2013/2014,Germany 1. Bundesliga,FC Augsburg,15,7,12,47,47,52,0
2013/2014,Germany 1. Bundesliga,FC Bayern Munich,29,3,2,94,23,90,71
2013/2014,Germany 1. Bundesliga,FC Schalke 04,19,7,8,63,43,64,20
2013/2014,Germany 1. Bundesliga,Hamburger SV,7,6,21,51,75,27,-24
2013/2014,Germany 1. Bundesliga,Hannover 96,12,6,16,46,59,42,-13
2013/2014,Germany 1. Bundesliga,Hertha BSC Berlin,11,8,15,40,48,41,-8
2013/2014,Germany 1. Bundesliga,SC Freiburg,9,9,16,43,61,36,-18
2013/2014,Germany 1. Bundesliga,SV Werder Bremen,10,9,15,42,66,39,-24
2013/2014,Germany 1. Bundesliga,TSG 1899 Hoffenheim,11,11,12,72,70,44,2
2013/2014,Germany 1. Bundesliga,VfB Stuttgart,8,8,18,49,62,32,-13
2013/2014,Germany 1. Bundesliga,VfL Wolfsburg,18,6,10,63,50,60,13
2013/2014,Italy Serie A,Atalanta,15,5,18,43,51,50,-8
2013/2014,Italy Serie A,Bologna,5,14,19,28,58,29,-30
2013/2014,Italy Serie A,Cagliari,9,12,17,34,53,39,-19
2013/2014,Italy Serie A,Catania,8,8,22,34,66,32,-32
2013/2014,Italy Serie A,Chievo Verona,10,6,22,34,54,36,-20
2013/2014,Italy Serie A,Fiorentina,19,8,11,65,44,65,21
2013/2014,Italy Serie A,Genoa,11,11,16,41,50,44,-9
2013/2014,Italy Serie A,Hellas Verona,16,6,16,62,68,54,-6
2013/2014,Italy Serie A,Inter,15,15,8,62,39,60,23
2013/2014,Italy Serie A,Juventus,33,3,2,80,23,102,57
2013/2014,Italy Serie A,Lazio,15,11,12,54,54,56,0
2013/2014,Italy Serie A,Livorno,6,7,25,39,77,25,-38
2013/2014,Italy Serie A,Milan,16,9,13,57,49,57,8
2013/2014,Italy Serie A,Napoli,23,9,6,77,39,78,38
2013/2014,Italy Serie A,Parma,15,13,10,58,46,58,12
2013/2014,Italy Serie A,Roma,26,7,5,72,25,85,47
2013/2014,Italy Serie A,Sampdoria,12,9,17,48,62,45,-14
2013/2014,Italy Serie A,Sassuolo,9,7,22,43,72,34,-29
2013/2014,Italy Serie A,Torino,15,12,11,58,48,57,10
2013/2014,Italy Serie A,Udinese,12,8,18,46,57,44,-11
2013/2014,Netherlands Eredivisie,ADO Den Haag,12,7,15,45,64,43,-19
2013/2014,Netherlands Eredivisie,AZ,13,8,13,54,50,47,4
2013/2014,Netherlands Eredivisie,Ajax,20,11,3,69,28,71,41
2013/2014,Netherlands Eredivisie,FC Groningen,14,9,11,57,53,51,4
2013/2014,Netherlands Eredivisie,FC Twente,17,12,5,72,37,63,35
2013/2014,Netherlands Eredivisie,FC Utrecht,11,8,15,46,65,41,-19
2013/2014,Netherlands Eredivisie,Feyenoord,20,7,7,76,40,67,36
2013/2014,Netherlands Eredivisie,Go Ahead Eagles,10,8,16,45,69,38,-24
2013/2014,Netherlands Eredivisie,Heracles Almelo,10,7,17,45,59,37,-14
2013/2014,Netherlands Eredivisie,N.E.C.,5,15,14,54,82,30,-28
2013/2014,Netherlands Eredivisie,NAC Breda,8,11,15,43,54,35,-11
2013/2014,Netherlands Eredivisie,PEC Zwolle,9,13,12,47,49,40,-2
2013/2014,Netherlands Eredivisie,PSV,18,5,11,60,45,59,15
2013/2014,Netherlands Eredivisie,RKC Waalwijk,7,11,16,44,64,32,-20
2013/2014,Netherlands Eredivisie,Roda JC Kerkrade,7,8,19,44,69,29,-25
2013/2014,Netherlands Eredivisie,SC Cambuur,10,9,15,40,50,39,-10
2013/2014,Netherlands Eredivisie,SC Heerenveen,16,9,9,72,51,57,21
2013/2014,Netherlands Eredivisie,Vitesse,15,10,9,65,49,55,16
2013/2014,Poland Ekstraklasa,Cracovia,11,6,13,37,43,39,-6
2013/2014,Poland Ekstraklasa,Jagiellonia Białystok,10,9,11,46,43,39,3
2013/2014,Poland Ekstraklasa,Korona Kielce,9,10,11,36,41,37,-5
2013/2014,Poland Ekstraklasa,Lech Poznań,15,8,7,56,34,53,22
2013/2014,Poland Ekstraklasa,Lechia Gdańsk,10,10,10,38,37,40,1
2013/2014,Poland Ekstraklasa,Legia Warszawa,20,3,7,60,30,63,30
2013/2014,Poland Ekstraklasa,Piast Gliwice,8,10,12,29,47,34,-18
2013/2014,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,6,13,11,27,39,31,-12
2013/2014,Poland Ekstraklasa,Pogoń Szczecin,11,14,5,47,38,47,9
2013/2014,Poland Ekstraklasa,Polonia Bytom,11,9,10,42,46,42,-4
2013/2014,Poland Ekstraklasa,Ruch Chorzów,14,8,8,40,38,50,2
2013/2014,Poland Ekstraklasa,Widzew Łódź,5,7,18,26,51,22,-25
2013/2014,Poland Ekstraklasa,Wisła Kraków,12,9,9,38,30,45,8
2013/2014,Poland Ekstraklasa,Zagłębie Lubin,7,8,15,31,40,29,-9
2013/2014,Poland Ekstraklasa,Zawisza Bydgoszcz,11,9,10,43,37,42,6
2013/2014,Poland Ekstraklasa,Śląsk Wrocław,7,13,10,38,40,34,-2
2013/2014,Portugal Liga ZON Sagres,Académica de Coimbra,9,10,11,25,35,37,-10
2013/2014,Portugal Liga ZON Sagres,CD Nacional,11,12,7,43,33,45,10
2013/2014,Portugal Liga ZON Sagres,CF Os Belenenses,6,10,14,19,33,28,-14
2013/2014,Portugal Liga ZON Sagres,CS Marítimo,11,8,11,40,44,41,-4
2013/2014,Portugal Liga ZON Sagres,Estoril Praia,15,9,6,42,26,54,16
2013/2014,Portugal Liga ZON Sagres,FC Arouca,8,7,15,28,42,31,-14
2013/2014,Portugal Liga ZON Sagres,FC Paços de Ferreira,6,6,18,28,59,24,-31
2013/2014,Portugal Liga ZON Sagres,FC Porto,19,4,7,57,25,61,32
2013/2014,Portugal Liga ZON Sagres,Gil Vicente FC,8,7,15,23,37,31,-14
2013/2014,Portugal Liga ZON Sagres,Rio Ave FC,8,8,14,21,35,32,-14
2013/2014,Portugal Liga ZON Sagres,S.C. Olhanense,6,6,18,21,49,24,-28
2013/2014,Portugal Liga ZON Sagres,SC Braga,10,7,13,39,37,37,2
2013/2014,Portugal Liga ZON Sagres,SL Benfica,23,5,2,58,18,74,40
2013/2014,Portugal Liga ZON Sagres,Sporting CP,20,7,3,54,20,67,34
2013/2014,Portugal Liga ZON Sagres,Vitória Guimarães,10,5,15,30,35,35,-5
2013/2014,Portugal Liga ZON Sagres,Vitória Setúbal,10,9,11,41,41,39,0
2013/2014,Scotland Premier League,Aberdeen,20,8,10,53,38,68,15
2013/2014,Scotland Premier League,Celtic,31,6,1,102,25,99,77
2013/2014,Scotland Premier League,Dundee United,16,10,12,65,50,58,15
2013/2014,Scotland Premier League,Heart of Midlothian,10,8,20,45,65,38,-20
